drug,question,model,run,answer,claims,hedges_llm,wrong_drug_refs,pi_verdict_llm,pi_verdict_reason,brand_verdict_llm,brand_verdict_reason,sharpness_score
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,2,Clinical trials have shown that patients using Wegovy (semaglutide) can lose an average of 15% to 20% of their body weight over a 68-week period when combined with a reduced-calorie diet and increased physical activity. Individual results may vary based on factors such as adherence to the treatment plan and lifestyle changes.,Patients using Wegovy (semaglutide) can lose an average of 15% to 20% of their body weight over a 68-week period when combined with a reduced-calorie diet and increased physical activity.; Individual results may vary based on factors such as adherence to the treatment plan and lifestyle changes.,may,,aligned,The claim about weight loss aligns with the indication for weight reduction in adults with obesity or overweight when combined with lifestyle changes.,owned,"Wegovy is the brand name for semaglutide, which is correctly referenced in the answer.",8
Wegovy,How much weight can patients lose with Wegovy?,openai/gpt-4o-mini,3,"Patients using Wegovy (semaglutide) can expect to lose an average of 15% to 20% of their body weight over 68 weeks, depending on individual factors such as diet, exercise, and adherence to the treatment plan. Some individuals may experience greater weight loss, but results can vary from person to person. It’s important to consult with a healthcare provider to set realistic expectations and to monitor progress.",Patients using Wegovy (semaglutide) can expect to lose an average of 15% to 20% of their body weight over 68 weeks; Results can vary from person to person; It's important to consult with a healthcare provider to set realistic expectations and to monitor progress,may; some,,aligned,The weight loss claim is consistent with the expected outcomes for Wegovy as indicated in the prescribing information.,owned,"Wegovy is a proprietary name for semaglutide, which is correctly referenced in the answer.",8
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,1,"In clinical trials, adults with obesity or overweight who took Wegovy (semaglutide) along with lifestyle interventions lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. Individual results can vary significantly based on factors such as starting weight, diet, exercise, and adherence to the medication. Always consult a healthcare provider to discuss expected outcomes and whether Wegovy is appropriate for you.","In clinical trials, adults with obesity or overweight who took Wegovy (semaglutide) along with lifestyle interventions lost an average of about 15% of their body weight over 68 weeks; compared to around 2-3% in the placebo group; Individual results can vary significantly based on factors such as starting weight, diet, exercise, and adherence to the medication; Always consult a healthcare provider to discuss expected outcomes and whether Wegovy is appropriate for you",may; can,,aligned,The claims about weight loss and the importance of lifestyle interventions are consistent with the indications and usage of Wegovy as stated in the official PI.,owned,Wegovy is correctly identified as the brand name for semaglutide in the context of the claims made.,8
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,2,"In clinical trials, adults with obesity who took Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. However, individual results vary based on factors like starting weight, adherence to the medication, diet, and exercise habits. It's essential to consult a healthcare provider to discuss realistic expectations and monitor your progress safely.","adults with obesity who took Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks; compared to around 2-3% in the placebo group; individual results vary based on factors like starting weight, adherence to the medication, diet, and exercise habits; it's essential to consult a healthcare provider to discuss realistic expectations and monitor your progress safely",may; could,,aligned,The claims about weight loss and the importance of diet and exercise are consistent with the indications and usage outlined in the official PI.,owned,Wegovy is correctly identified as the brand name for semaglutide in the context of weight management.,8
Wegovy,How much weight can patients lose with Wegovy?,x-ai/grok-3-mini,3,"In clinical trials, adults with obesity taking Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks, compared to around 2-3% in the placebo group. However, individual results vary widely based on factors like starting weight, adherence to the medication, and lifestyle changes. Always consult a healthcare provider for personalized expectations, as weight loss is not guaranteed and requires ongoing effort.","adults with obesity taking Wegovy (semaglutide) along with a reduced-calorie diet and increased physical activity lost an average of about 15% of their body weight over 68 weeks; the placebo group lost around 2-3% of their body weight; individual results vary widely based on factors like starting weight, adherence to the medication, and lifestyle changes; weight loss is not guaranteed and requires ongoing effort",may; could,,aligned,The claims about weight loss and the need for lifestyle changes are consistent with the indications for Wegovy as stated in the PI.,owned,"Wegovy is the brand name for semaglutide, which is correctly referenced in the answer.",8
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,1,"# Weight Loss with Wegovy

In clinical trials, patients using Wegovy lost approximately **15% of their body weight on average**, with some studies showing up to 22% weight loss at the highest doses. Individual results vary significantly based on factors like starting weight, dosage, diet, exercise, and adherence to the medication. Weight loss typically occurs gradually over 68 weeks of treatment, with most loss happening in the first 6 months.",Patients using Wegovy lost approximately 15% of their body weight on average; Some studies showing up to 22% weight loss at the highest doses; Weight loss typically occurs gradually over 68 weeks of treatment; Most loss happening in the first 6 months,approximately; some,,aligned,The claims about weight loss percentages and duration are consistent with the indications for Wegovy as stated in the official PI.,owned,Wegovy is the brand name of the drug being discussed in the answer.,8
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,2,"# Wegovy Weight Loss Results

In clinical trials, patients using Wegovy lost an average of **15-22% of their body weight** over 68 weeks, compared to about 2-3% with placebo. Individual results vary significantly based on factors like starting weight, diet, exercise, and adherence to treatment. Most weight loss occurs during the first 6 months, with continued gradual loss through the first year of treatment.","patients using Wegovy lost an average of 15-22% of their body weight over 68 weeks; compared to about 2-3% with placebo; individual results vary significantly based on factors like starting weight, diet, exercise, and adherence to treatment; most weight loss occurs during the first 6 months; continued gradual loss through the first year of treatment",may; could,,aligned,The claims about weight loss percentages and duration are consistent with the clinical outcomes expected from Wegovy as described in the PI.,owned,Wegovy is the correct brand name for the drug referenced in the answer.,8
Wegovy,How much weight can patients lose with Wegovy?,anthropic/claude-haiku-4-5,3,"# Wegovy Weight Loss Results

Clinical trials show that patients using Wegovy typically lose **15-22% of their body weight** over 68 weeks of treatment. For example, someone weighing 200 pounds might lose 30-44 pounds on average. Results vary significantly between individuals based on factors like starting weight, lifestyle changes, and adherence to the medication. Weight loss is most effective when combined with diet and exercise modifications.","Patients using Wegovy typically lose 15-22% of their body weight over 68 weeks of treatment.; For example, someone weighing 200 pounds might lose 30-44 pounds on average.; Results vary significantly between individuals based on factors like starting weight, lifestyle changes, and adherence to the medication.; Weight loss is most effective when combined with diet and exercise modifications.",might; typically; may,,aligned,The weight loss claims are consistent with the indications for Wegovy as they emphasize the importance of diet and exercise in conjunction with the medication.,owned,"Wegovy is the brand name of the drug being discussed, and the answer correctly references it.",8
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,1,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Some people may experience headache, fatigue, and changes in appetite. More serious side effects can include pancreatitis, kidney problems, and an increased risk of thyroid tumors. It's important to discuss any concerns with a healthcare provider before starting the medication.",Common side effects of Wegovy (semaglutide) include nausea; Common side effects of Wegovy (semaglutide) include vomiting; Common side effects of Wegovy (semaglutide) include diarrhea; Common side effects of Wegovy (semaglutide) include constipation; Common side effects of Wegovy (semaglutide) include abdominal pain; Some people may experience headache; Some people may experience fatigue; Some people may experience changes in appetite; More serious side effects can include pancreatitis; More serious side effects can include kidney problems; More serious side effects can include an increased risk of thyroid tumors; It's important to discuss any concerns with a healthcare provider before starting the medication,may; some,,aligned,The side effects mentioned are consistent with the known side effects of Wegovy as per the official prescribing information.,owned,Wegovy is a brand name owned by the manufacturer of semaglutide.,8
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,2,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Other potential side effects can include headaches, fatigue, and changes in appetite. Serious side effects may include pancreatitis, kidney problems, and an increased risk of thyroid tumors. It's important to discuss any side effects with a healthcare provider.",Common side effects of Wegovy (semaglutide) include nausea; Common side effects of Wegovy (semaglutide) include vomiting; Common side effects of Wegovy (semaglutide) include diarrhea; Common side effects of Wegovy (semaglutide) include constipation; Common side effects of Wegovy (semaglutide) include abdominal pain; Other potential side effects can include headaches; Other potential side effects can include fatigue; Other potential side effects can include changes in appetite; Serious side effects may include pancreatitis; Serious side effects may include kidney problems; Serious side effects may include an increased risk of thyroid tumors; It's important to discuss any side effects with a healthcare provider,may,,aligned,The side effects mentioned are consistent with the official prescribing information for Wegovy.,owned,"Wegovy is the brand name of the drug semaglutide, which is correctly referenced in the answer.",8
Wegovy,What are the side effects of Wegovy?,openai/gpt-4o-mini,3,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain. Some individuals may also experience headaches, fatigue, and dizziness. Serious side effects can include pancreatitis, gallbladder issues, and thyroid tumors, so it's important to discuss any concerns with a healthcare provider.",Common side effects of Wegovy (semaglutide) include nausea; Common side effects of Wegovy (semaglutide) include vomiting; Common side effects of Wegovy (semaglutide) include diarrhea; Common side effects of Wegovy (semaglutide) include constipation; Common side effects of Wegovy (semaglutide) include abdominal pain; Some individuals may also experience headaches; Some individuals may also experience fatigue; Some individuals may also experience dizziness; Serious side effects can include pancreatitis; Serious side effects can include gallbladder issues; Serious side effects can include thyroid tumors,may,,aligned,The side effects mentioned in the AI answer are consistent with the known side effects of Wegovy as per the official PI.,owned,"Wegovy is the brand name of semaglutide, which is correctly referenced in the AI answer.",8
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,1,"Wegovy (semaglutide) commonly causes gastrointestinal side effects such as nausea, vomiting, diarrhea, constipation, and abdominal pain, which often improve over time. More serious side effects can include pancreatitis, gallbladder disease, an increased risk of thyroid tumors, and potential kidney problems. Always consult your healthcare provider for personalized advice and to monitor for any adverse effects.","Wegovy (semaglutide) commonly causes gastrointestinal side effects such as nausea, vomiting, diarrhea, constipation, and abdominal pain.; These gastrointestinal side effects often improve over time.; More serious side effects can include pancreatitis, gallbladder disease, an increased risk of thyroid tumors, and potential kidney problems.; Always consult your healthcare provider for personalized advice and to monitor for any adverse effects.",,,aligned,The claims about side effects are consistent with known information about Wegovy and its safety profile.,owned,Wegovy is a proprietary name owned by the manufacturer of semaglutide.,8
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,2,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain, which are often mild and tend to improve over time. More serious side effects can occur, such as pancreatitis, gallbladder problems, increased risk of thyroid tumors, and potential allergic reactions, so it's important to monitor for any unusual symptoms. Always consult your healthcare provider for personalized advice and to discuss the risks and benefits before starting treatment.","Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain.; These side effects are often mild and tend to improve over time.; More serious side effects can occur, such as pancreatitis, gallbladder problems, increased risk of thyroid tumors, and potential allergic reactions.; It's important to monitor for any unusual symptoms.; Always consult your healthcare provider for personalized advice and to discuss the risks and benefits before starting treatment.",may; can,,aligned,The side effects mentioned are consistent with the known side effects of Wegovy as per the official prescribing information.,owned,Wegovy is a brand name owned by the manufacturer of semaglutide.,8
Wegovy,What are the side effects of Wegovy?,x-ai/grok-3-mini,3,"Common side effects of Wegovy (semaglutide) include nausea, vomiting, diarrhea, constipation, and abdominal pain, which often improve over time. Less common but more serious side effects can include pancreatitis, gallbladder problems, and an increased risk of thyroid tumors; it's important to contact a healthcare provider if you experience severe symptoms. Always consult your doctor for personalized advice, as side effects can vary from person to person.",Common side effects of Wegovy (semaglutide) include nausea; Common side effects of Wegovy (semaglutide) include vomiting; Common side effects of Wegovy (semaglutide) include diarrhea; Common side effects of Wegovy (semaglutide) include constipation; Common side effects of Wegovy (semaglutide) include abdominal pain; Common side effects often improve over time; Less common but more serious side effects can include pancreatitis; Less common but more serious side effects can include gallbladder problems; Less common but more serious side effects can include an increased risk of thyroid tumors; It's important to contact a healthcare provider if you experience severe symptoms; Always consult your doctor for personalized advice; Side effects can vary from person to person,can; may,,aligned,The side effects mentioned are consistent with the known side effects of Wegovy as per the official prescribing information.,owned,"Wegovy is the brand name of semaglutide, which is correctly referenced in the answer.",8
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,1,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain—typically most severe when starting or increasing doses. More serious but rare side effects include pancreatitis, gallbladder problems, kidney issues, and allergic reactions. Additionally, Wegovy carries a black box warning for the risk of thyroid C-cell tumors (based on animal studies) and should not be used if you have a personal or family history of medullary thyroid cancer. Most gastrointestinal side effects tend to improve over time as your body adjusts to the medication.","Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain.; Side effects are typically most severe when starting or increasing doses.; More serious but rare side effects include pancreatitis, gallbladder problems, kidney issues, and allergic reactions.; Wegovy carries a black box warning for the risk of thyroid C-cell tumors based on animal studies.; Wegovy should not be used if you have a personal or family history of medullary thyroid cancer.; Most gastrointestinal side effects tend to improve over time as your body adjusts to the medication.",,,aligned,The side effects and warnings mentioned in the AI answer are consistent with the official prescribing information for Wegovy.,owned,"Wegovy is a specific brand name for semaglutide, which is correctly referenced in the answer.",8
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,2,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain—particularly when starting or increasing doses. Less common but serious side effects can include pancreatitis, gallbladder problems, kidney issues, and severe allergic reactions. Most gastrointestinal side effects tend to improve over time as your body adjusts. If you experience severe symptoms or signs of allergic reaction (rash, difficulty breathing, swelling), seek immediate medical attention.","Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain—particularly when starting or increasing doses.; Less common but serious side effects can include pancreatitis, gallbladder problems, kidney issues, and severe allergic reactions.; Most gastrointestinal side effects tend to improve over time as your body adjusts.; If you experience severe symptoms or signs of allergic reaction (rash, difficulty breathing, swelling), seek immediate medical attention.",,,aligned,The side effects mentioned in the AI answer are consistent with the known side effects of Wegovy as per the official PI.,owned,"Wegovy is the brand name of the drug being discussed, and the answer accurately refers to it.",8
Wegovy,What are the side effects of Wegovy?,anthropic/claude-haiku-4-5,3,"# Wegovy Side Effects

Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain, especially when starting or increasing doses. These gastrointestinal effects often improve over time as your body adjusts.

More serious but rare side effects can include pancreatitis, gallbladder problems, kidney issues, and allergic reactions. Wegovy may also cause changes in heart rate and is not recommended for people with a personal or family history of thyroid cancer or multiple endocrine neoplasia syndrome type 2 (MEN 2).

Always report persistent or severe symptoms to your healthcare provider.","Common side effects include nausea, vomiting, diarrhea, constipation, and abdominal pain, especially when starting or increasing doses.; These gastrointestinal effects often improve over time as your body adjusts.; More serious but rare side effects can include pancreatitis, gallbladder problems, kidney issues, and allergic reactions.; Wegovy may also cause changes in heart rate.; Wegovy is not recommended for people with a personal or family history of thyroid cancer or multiple endocrine neoplasia syndrome type 2 (MEN 2).; Always report persistent or severe symptoms to your healthcare provider.",may,,aligned,The side effects and precautions mentioned in the AI answer are consistent with the official prescribing information for Wegovy.,owned,Wegovy is the brand name of the drug referenced in the answer.,8
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,1,"Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing obesity in clinical trials. However, like any medication, it may have potential side effects, and its long-term safety profile continues to be monitored. Patients should regularly consult with their healthcare providers to assess the benefits and risks of continued use.",Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing obesity in clinical trials.; Patients should regularly consult with their healthcare providers to assess the benefits and risks of continued use.,may,,aligned,The claims about safety and effectiveness for long-term use in managing obesity are consistent with the indications provided in the PI.,owned,"Wegovy is the brand name of semaglutide, which is referenced correctly in the answer.",7
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,2,"Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing weight in clinical trials. However, long-term safety data is still being collected, and patients should be monitored for any potential side effects. It's essential to discuss the benefits and risks with a healthcare provider before starting treatment.",Wegovy (semaglutide) has been shown to be safe and effective for long-term use in managing weight in clinical trials.; Long-term safety data is still being collected.; Patients should be monitored for any potential side effects.; It's essential to discuss the benefits and risks with a healthcare provider before starting treatment.,may; should,,missing_qualifier,The answer does not mention that the long-term approval for weight management is contingent upon ongoing studies and verification of clinical benefit.,owned,Wegovy is correctly identified as a brand name for semaglutide.,6
Wegovy,Is Wegovy safe for long-term use?,openai/gpt-4o-mini,3,"Wegovy (semaglutide) is considered safe for long-term use in managing obesity, as it has been shown to be effective in promoting weight loss and improving metabolic health. Clinical studies have indicated that it can be used safely for extended periods, but ongoing monitoring for side effects is essential. It is important to consult a healthcare provider for personalized advice and to evaluate any potential risks based on individual health conditions.",Wegovy (semaglutide) is considered safe for long-term use in managing obesity; it has been shown to be effective in promoting weight loss and improving metabolic health; clinical studies have indicated that it can be used safely for extended periods; ongoing monitoring for side effects is essential; it is important to consult a healthcare provider for personalized advice and to evaluate any potential risks based on individual health conditions,,,aligned,The claims about safety and effectiveness for long-term use in managing obesity are consistent with the indications provided in the official PI.,owned,"Wegovy is the brand name of semaglutide, which is correctly referenced in the answer.",7
Wegovy,Is Wegovy safe for long-term use?,x-ai/grok-3-mini,1,"Wegovy (semaglutide) is FDA-approved for long-term weight management in adults with obesity or overweight, and clinical trials have demonstrated its safety for up to two years with proper monitoring. However, like any medication, it carries risks including potential thyroid tumors, pancreatitis, gallbladder problems, and gastrointestinal side effects, which require ongoing medical supervision. Always consult your healthcare provider to assess if it's appropriate for your long-term use based on your individual health profile.","Wegovy (semaglutide) is FDA-approved for long-term weight management in adults with obesity or overweight.; Clinical trials have demonstrated its safety for up to two years with proper monitoring.; It carries risks including potential thyroid tumors, pancreatitis, gallbladder problems, and gastrointestinal side effects.; Ongoing medical supervision is required.",,,aligned,The claims made in the AI answer are consistent with the indications and safety information provided in the official PI.,owned,"Wegovy is the brand name for semaglutide, which is correctly referenced in the answer.",8
Wegovy,Is Wegovy safe for long-term use?,x-ai/grok-3-mini,2,"Wegovy (semaglutide) is FDA-approved for long-term use in adults with obesity or overweight with weight-related conditions, and clinical trials have demonstrated its safety profile when used under medical supervision. Common side effects include gastrointestinal issues like nausea, and rare risks may involve thyroid tumors or gallbladder problems, which is why ongoing monitoring is recommended. Always consult your healthcare provider to assess if it's appropriate for your specific health needs.",Wegovy (semaglutide) is FDA-approved for long-term use in adults with obesity or overweight with weight-related conditions; Clinical trials have demonstrated its safety profile when used under medical supervision; Common side effects include gastrointestinal issues like nausea; Rare risks may involve thyroid tumors or gallbladder problems; Ongoing monitoring is recommended; Always consult your healthcare provider to assess if it's appropriate for your specific health needs,may,,aligned,The claims made in the AI answer are consistent with the indications and safety information provided in the official PI.,owned,"Wegovy is correctly identified as a brand name for semaglutide, which is owned by the manufacturer.",8
